Name	Shortcut	Category	Subcategory	Tag	Stage	Trigger (When to Use)	Requires Proof?	Requires Review?	Goodwill Tier	Final Action	Internal Notes (Do Not Send)	Response
Signature Required - Move / New Address	/sig3	Shipping	Signature Required	SIGNATURE_REQUIRED	Stage 2	Customer says they cannot pick up and are moving soon	No	No	Tier 0	Investigate	If returned, then can assist later. Do not promise immediate reroute unless shop can do it.	Hello, thank you for reaching out. If you are unable to pick up the package after a failed USPS signed delivery, it will be returned to us, and once it is returned, we can assist with shipping it to your new address.
Returned Package - Not Yet Received	/return2	Shipping	Returned Package	RETURNED_PACKAGE	Stage 2	Customer follows up and returned package still not at shop	No	No	Tier 0	Investigate	Use while still waiting on carrier return.	Hello, thank you for following up. At this time, we have not yet received the returned package. We are continuing to monitor this and will update you as soon as anything arrives or if we have more information. We appreciate your patience and understanding in the meantime.
Missing Items - Packaging Not Available	/missing2	Order Issue	Missing Items / Missing Packs	MISSING_ITEMS	Stage 2	Customer says packaging or slip was thrown away	No	Yes	Tier 0	Investigate	Investigate internally. Do not accuse. Benefit of doubt if business case makes sense.	Hello, thank you for following up. At this time, we have not yet received the returned package. We are continuing to monitor this and will update you as soon as anything arrives or if we have more information. We appreciate your patience and understanding in the meantime.
Missing Items - Under Review	/missing3	Order Issue	Missing Items / Missing Packs	MISSING_ITEMS	Stage 2	Customer already sent photos	No	Yes	Tier 0	Investigate	Use while reviewing photos and order details.	Hello, thank you for providing those images. We are currently reviewing everything on our end and investigating the situation. Please allow some time for us to provide an update.
Wrong Item - Return Label Needed	/wrong2	Order Issue	Wrong Item Sent	WRONG_ITEM	Stage 2	Customer agrees to return wrong item for exchange	No	No	Tier 3	Wait on customer	Collect email for return label.	Hello, thanks for reaching out. Could you please provide your current email address so we can send over your return label?
Opened Instead of Sealed - No Clear Request Found	/sealed2	Order Issue	Sealed vs Opened	SEALED_VS_OPENED	Stage 2	Footage reviewed and no clear sealed request before opening	No	No	Tier 1	Close	Default no refund. Offer RIP10 only if needed or approved goodwill.	Hello, thanks for reaching out. After further reviewing the footage, we were unable to find any clear request to have the item shipped sealed prior to it being opened. Based on this, the order falls under live opening guidelines and is not eligible for a refund. We apologize for any confusion or misunderstanding.
Surprise Set Refund - Accidental Bid	/ssrefund2	Refund	Surprise Set / Randomized	SURPRISE_SET	Stage 2	Customer says accidental bid or unauthorized purchase	No	No	Tier 0	Direct to TikTok	Do not debate. Do not promise refund. Direct to TikTok.	Hello, thank you for reaching out. We understand your concern. As this was a randomized surprise set, we are unable to cancel or refund the order on our end. If you believe the purchase was unauthorized, please contact TikTok directly for further review.
Surprise Set Refund - Opened Live	/ssrefund3	Refund	Surprise Set / Randomized	SURPRISE_SET	Stage 2	Customer argues after products were opened live	No	No	Tier 0	Close	Use when reviewed footage confirms live opening. No compensation by default.	Hello, thanks for reaching out. After further review, we can confirm the products were opened live during the broadcast and are therefore not eligible for a refund. We appreciate your understanding.
Missing Package Claim - Confirm Non Receipt	/delivered2	Missing Package	Delivered But Not Received	DELIVERED_NOT_RECEIVED	Stage 2	Customer says they checked everywhere and still cannot locate it	No	No	Tier 0	Wait on customer	Use to get explicit confirmation before opening claim.	Hello, thank you for the update. Please confirm that you did not receive the package marked as delivered at [time] on [date]. Once confirmed, we will proceed with opening a USPS missing package claim and then discuss the next steps with you.
Giveaway Winner - Choose Prize	/give2	Giveaway	Winner Intake	GIVEAWAY	Stage 2	Customer provided address and needs to pick prize type	No	No	Tier 0	Wait on customer	Use if prize requires choice.	Thank you for providing your address! Could you please confirm whether you would prefer the MTG Premium Pack or the Pokémon Premium Pack for your giveaway prize?
Damage - Transit Likely	/damage2	Damage	Transit Damage	DAMAGE	Stage 2	Customer provided photos and damage appears transit related	No	Yes	Tier 0	Investigate	Position as carrier-related. Review before replacing.	Hello, thank you for providing the photos. Based on the information provided, this appears to have occurred during transit with the carrier. We are currently reviewing this on our end and will determine the best next step.
Package Taking Too Long - Final	/noscan3	Shipping	No Scan / Awaiting Initial Scan	NO_SCAN	Stage 3	Customer pushes and claims it was never shipped	No	Yes	Tier 1	Investigate	If reasonable and frustrated, DISCOUNT CODE only if needed. Escalate only if scan delay becomes abnormal.	Hello, thank you for reaching out. After further review, we can confirm your package has been handed off and is on the way. While tracking may not yet reflect movement, USPS can take time to complete the initial scan. If there is still no update after additional time, we will review it further on our end.
Returned Package - Unable To Locate	/return3	Shipping	Returned Package	RETURNED_PACKAGE	Stage 3	Returned package could not be located and replacement approved	No	No	Tier 3	Replace	Do not say we lost it. Say unable to locate returned package.	Hello, thanks for reaching out. After further review, we were unfortunately unable to locate the returned package. As a resolution, we will be shipping out a brand new [item] to you. We appreciate your patience and understanding.
End Conversation - Soft Close	/admin3	Admin	Close	ADMIN	Stage 3	Issue resolved or no further action needed	No	No	Tier 0	Close	Friendly close.	Of course. If you have any other questions or concerns, please let us know.
End Conversation - Final Close	/admin4	Admin	Close	ADMIN	Stage 3	Customer repetitive, hostile, or circular and no new info	No	No	Tier 0	Close	Use to disengage. No debate.	Hello, we understand your concerns and appreciate you taking the time to share this information. At this time, we have provided all available details regarding your order and its status. Any further updates or decisions regarding refunds will be handled directly through TikTok. We appreciate your understanding.
Goodwill - DISCOUNT CODE	/goodwill1	Admin	Goodwill	GOODWILL	Stage 3	Minor dissatisfaction where approved to offer baseline goodwill	No	No	Tier 1	Close	Default goodwill only. Do not offer product unless clear mistake or VIP.	Hello, thank you for reaching out. While we’re unable to offer a refund or replacement in this case, we’d like to offer a small gesture of goodwill. You’re welcome to use the code [DISCOUNT] for 10% off a future order. We appreciate your understanding.
VIP Customer - Light Recovery	/goodwill2	Admin	VIP Recovery	VIP	Stage 3	Known high spender or strong repeat customer with approved exception	No	Yes	Tier 2	Close	Use sparingly for valuable customers. Product goodwill only if approved.	Hello, thank you for reaching out. We appreciate your continued support. While we’re unable to offer a full refund or replacement in this case, we would like to offer a small gesture of goodwill. Please let us know if you have any other questions.
Missing Items - Replacement Approved	/missing4	Order Issue	Missing Items / Missing Packs	MISSING_ITEMS	Stage 3	Internal review confirms missing items should be replaced	No	No	Tier 3	Replace	Use only when mistake confirmed or approved exception.	Hello, thank you for your patience. After further review, we will be shipping out the following replacement: [item]. Please allow some time for tracking updates once it has been sent. We appreciate your understanding and continued support.
Missing Items - Replacement Shipped	/missing5	Order Issue	Missing Items / Missing Packs	MISSING_ITEMS	Stage 3	Replacement already created and tracking available	No	No	Tier 3	Close	Add item and tracking. Keep simple.	Hello, thanks for reaching out. Your replacement [item] has been shipped out. Please allow some time for tracking updates, as USPS may take a bit to scan packages. Here is your tracking information: [tracking]. We appreciate your understanding and continued support.
Wrong Item - Keep As Compensation	/wrong1	Order Issue	Wrong Item Sent	WRONG_ITEM	Stage 3	Approved option to let customer keep wrong item	No	No	Tier 2	Close	Use when wrong item has similar or higher value and approved by team.	Hello, thank you for contacting Vaulted Support. After further review, we can offer two solutions. You may keep the [product] as compensation, or you can return it and we will exchange it for a [correct product]. We apologize for the misunderstanding and appreciate your patience.
Wrong Item - Exchange After Return	/wrong3	Order Issue	Wrong Item Sent	WRONG_ITEM	Stage 3	Return label sent and waiting for item back	No	No	Tier 3	Investigate	Use while waiting for return to arrive.	Hello, thanks for reaching out. We’d be happy to process an exchange once we receive the original product. We will also provide a return label and send you a confirmation once the replacement has been shipped.
Opened Instead of Sealed - Small Goodwill	/sealed3	Order Issue	Sealed vs Opened	SEALED_VS_OPENED	Stage 3	Approved small goodwill after confusion but no refund	No	No	Tier 1	Close	Default goodwill is RIP10 unless VIP or management approves product.	Hello, thanks for reaching out. After further review, the order is not eligible for a refund under live opening guidelines. As a small gesture of goodwill, you’re welcome to use the code RIP10 for 10% off a future order. We appreciate your understanding.
Surprise Set Refund - Final Disengage	/ssrefund4	Refund	Surprise Set / Randomized	SURPRISE_SET	Stage 3	Customer keeps arguing, threatens bank, repeats same points	No	No	Tier 0	Close	Final response. Do not continue debate.	Hello, as previously stated, orders from surprise sets opened live are not eligible for a refund under TikTok guidelines. For any further assistance, please contact TikTok Support directly. Thank you.
Missing Package Claim - Opened	/delivered3	Missing Package	Delivered But Not Received	DELIVERED_NOT_RECEIVED	Stage 3	Customer confirms non receipt	No	No	Tier 0	Investigate	Open claim. Do not promise replacement or refund yet.	Hello, thank you for confirming. We will proceed with opening a USPS missing package claim regarding the delivery. Once we receive an update, we will follow up with you to discuss the next steps.
Missing Package - Claim Pending	/delivered4	Missing Package	Delivered But Not Received	DELIVERED_NOT_RECEIVED	Stage 3	Customer asks for update while claim is pending	No	No	Tier 0	Close	Keep short. USPS timeline can take a while.	Hello, thank you for following up. A missing package claim has already been submitted with USPS, and we are currently waiting for an update from their investigation. We appreciate your patience and understanding.
Missing Package - Pushes For Refund	/delivered5	Missing Package	Delivered But Not Received	DELIVERED_NOT_RECEIVED	Stage 3	Customer demands immediate replacement or refund before claim result	No	Yes	Tier 0	Close	Hold line. If shop policy allows refund request through platform, direct there. Otherwise keep claim path.	Hello, thank you for reaching out. Since the package is marked as delivered by the carrier, we are unable to issue a replacement or refund at this stage. We are continuing to review the matter through the carrier claim process and will follow up once we have an update.
Giveaway Winner - Tracking Sent	/give3	Giveaway	Fulfillment	GIVEAWAY	Stage 3	Prize shipped with tracking	No	No	Tier 0	Close	Send once prize ships.	Hello, thanks for confirming! Here is your tracking number: [tracking]. Please allow some time for tracking updates, as USPS may take a bit to scan packages. Congratulations again on winning the giveaway, and we truly appreciate your continued support!
Damage - Goodwill Replacement	/damage3	Damage	Transit Damage	DAMAGE	Stage 3	Approved replacement as goodwill for transit damage	No	No	Tier 3	Replace	Use when replacing even though carrier likely caused issue.	Hello, thanks for reaching out. While this appears to be related to handling during transit with USPS, as a gesture of goodwill we will be sending you a replacement [product]. We appreciate your patience and understanding. Please let us know if you have any other questions.
Damage - Manufacturing Issue No Replacement	/damage4	Damage	Manufacturing / Distributor Issue	DAMAGE	Stage 3	Issue appears manufacturing-related and no replacement approved	No	No	Tier 0	Close	Use when sourced directly from distributor and not shop-caused.	Hello, we appreciate you bringing this to our attention. Unfortunately, we are unable to make any changes or replacements as this appears to be a manufacturing issue. Thank you again for reaching out.
